app_id,tag
11140,Puzzle
11150,Adventure
11150,Point & Click
11150,Puzzle
11190,Adventure
11190,Point & Click
11190,Puzzle
11190,RPG
11190,Thriller
11200,Action
11200,Action RPG
11200,RPG
11200,Shooter
11200,Survival
11200,Third-Person Shooter
11200,Top-Down Shooter
11200,Twin Stick Shooter
11230,Platformer
11230,Racing
11240,Action
11240,Base Building
11240,Colony Sim
11240,Diplomacy
11240,Economy
11240,FPS
11240,Gun Customization
11240,Management
11240,Shooter
11240,Strategy
11250,Naval Combat
11250,Real-Time Strategy
11250,Simulation
11250,Strategy
11260,Naval Combat
11260,Simulation
11260,Strategy
11280,Action
11280,FPS
11280,Shooter
11340,Action
11340,Action RPG
11340,Action Roguelike
11340,Arcade
11340,Bullet Hell
11340,Hack and Slash
11340,RPG
11340,Roguelike
11340,Roguelite
11340,Shoot 'Em Up
11340,Shooter
11340,Top-Down Shooter
11360,Arcade
11360,Logic
11360,Match 3
11360,Puzzle
11360,Strategy
11360,Survival
11370,Adventure
11370,Alternate History
11370,Comic Book
11370,Dystopian
11370,Hidden Object
11370,Point & Click
11370,Puzzle
11390,Action
11390,Action-Adventure
11390,Arcade
11390,Automobile Sim
11390,Combat Racing
11390,Driving
11390,Heist
11390,Racing
11390,Sandbox
11450,Action
11450,Action RPG
11450,Action-Adventure
11450,Adventure
11450,Hack and Slash
11450,Puzzle
11450,RPG
11450,Real-Time Strategy
11450,Strategy
11480,Real-Time Strategy
11480,Strategy
11550,Action
11550,Stealth
11550,Third-Person Shooter
11560,Real-Time Strategy
11560,Strategy
11590,Management
11590,Medical Sim
11590,Simulation
11610,Action
11610,Adventure
11610,Dungeon Crawler
11610,Hack and Slash
11610,RPG
12130,Action
12130,Shooter
12130,Stealth
12130,Survival
12130,Survival Horror
12140,Action
12140,Adventure
12140,Shooter
12140,Third-Person Shooter
12150,Action
12150,Adventure
12150,Shooter
12150,Third-Person Shooter
12170,Action
12170,Adventure
12170,Automobile Sim
12170,Shooter
12180,Action
12180,Action RPG
12180,Adventure
12180,Automobile Sim
12180,Shooter
12180,Top-Down Shooter
12200,Action
12200,Adventure
12200,RPG
12200,Sandbox
12200,Simulation
12220,Action
12220,Adventure
12220,Automobile Sim
12220,Driving
12220,Racing
12220,Sandbox
12220,Shooter
12220,Third-Person Shooter
12310,Adventure
12310,Dystopian
12310,Point & Click
12310,RPG
12320,Action
12320,Action RPG
12320,Adventure
12320,Hack and Slash
12320,RPG
12330,Action
12330,RPG
12330,Simulation
12330,Space Sim
12340,Adventure
12340,Point & Click
12360,Action
12360,Arcade
12360,Automobile Sim
12360,Combat Racing
12360,Driving
12360,Racing
12360,Vehicular Combat
12390,Action
12390,FPS
12390,Shooter
12420,Real-Time Strategy
12420,Strategy
12430,Pinball
12440,Adventure
12440,Point & Click
12450,Adventure
12450,Point & Click
12450,Puzzle
12460,Real-Time Strategy
12460,Strategy
12470,City Builder
12470,Economy
12470,Strategy
12470,Trading
12480,Real-Time Strategy
12480,Strategy
12500,Adventure
12500,Match 3
12500,Puzzle
12500,RPG
12500,Strategy
12510,Simulation
12510,Strategy
12520,Automobile Sim
12520,Driving
12520,Racing
12520,Simulation
12530,Action
12530,Adventure
12530,Hunting
12530,Strategy
12540,Puzzle
12560,Management
12560,Simulation
12570,Cooking
12590,Racing
12600,Racing
12640,Adventure
12640,CRPG
12640,Party-Based RPG
12640,RPG
12640,Turn-Based
12690,Hunting
12690,Simulation
12690,Sports
12710,Action
12710,Action RPG
12710,Action-Adventure
12710,Adventure
12710,Hack and Slash
12710,Puzzle
12710,RPG
12710,Real-Time Strategy
12710,Strategy
12770,Action
12770,Action RPG
12770,Adventure
12770,Hack and Slash
12770,RPG
12790,Action
12790,Adventure
12790,Shooter
12790,Third-Person Shooter
12810,Action
12810,Action RPG
12810,Action-Adventure
12810,Adventure
12810,Puzzle
12810,RPG
12810,Real-Time Strategy
12810,Strategy
12830,Action
12830,Adventure
12830,FPS
12830,Shooter
12830,Simulation
12830,Stealth
12830,Strategy
12830,Tactical
12830,Walking Simulator
12900,Arcade
12900,Puzzle
12900,Racing
12900,Rhythm
13500,Action
13500,Adventure
13500,Hack and Slash
13500,Platformer
13500,Puzzle
13520,Action
13520,Adventure
13520,FPS
13520,Sandbox
13520,Shooter
13520,Stealth
13520,Survival
13530,3D Platformer
13530,Action
13530,Adventure
13530,Hack and Slash
13530,Platformer
13530,Stealth
13540,Action
13540,FPS
13540,Shooter
13540,Stealth
13540,Tactical
13540,Third-Person Shooter
13560,Action
13560,Adventure
13560,Shooter
13560,Stealth
13560,Strategy
13560,Tactical
13560,Third-Person Shooter
13570,Action
13570,Adventure
13570,Shooter
13570,Stealth
13570,Strategy
13570,Tactical
13570,Third-Person Shooter
13580,Action
13580,Adventure
13580,Shooter
13580,Stealth
13580,Third-Person Shooter
13600,3D Platformer
13600,Action
13600,Adventure
13600,Hack and Slash
13600,Platformer
13600,Puzzle
13600,Puzzle Platformer
13620,Action
13620,FPS
13620,Shooter
13620,Strategy
13620,Tactical
13630,Action
13630,FPS
13630,Shooter
13630,Simulation
13630,Tactical
15000,Action
15000,FPS
